id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
301871,Heart of Lisbon: varanda and  A/C,1552056,Maria Simone,Lisboa,Santo Antnio,38.72419,-9.1474,Entire home/apt,79,3,88,2021-11-18,0.75,7,289,7,93932/AL
303692,200yr Duplex Apartment beside garden with lake,1552056,Maria Simone,Lisboa,Arroios,38.72138,-9.13945,Entire home/apt,69,1,120,2021-08-15,1.07,7,297,3,36052/AL
304025,In Lisboa center - small and cozy - 4th floor,682628,Paulo Eduardo,Lisboa,Misericrdia,38.71308,-9.14514,Entire home/apt,120,2,19,2020-01-02,0.17,8,318,0,2699/AL
306191,"Bairro Alto Cute Apartment, Central",1574678,Tiago,Lisboa,Misericrdia,38.71279,-9.14503,Entire home/apt,59,3,420,2021-11-21,3.58,1,301,19,61340/AL
307666,Confortable & contemporary - Expo,1582924,Jorge,Lisboa,Parque das Naes,38.7787,-9.09634,Entire home/apt,63,3,10,2019-05-17,0.09,1,326,0,722/AL
307683,"Alfama,Lisbon--Window of the World",727771,Susana,Lisboa,Santa Maria Maior,38.71143,-9.12778,Entire home/apt,49,3,320,2021-12-04,2.68,9,334,31,84334/AL
311031,Central Alfama - Sé de Lisboa III,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71219,-9.12739,Entire home/apt,90,3,0,,,3,341,0,AL 1708
311040,até 4 p Alfama - Sé de Lisboa I,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71235,-9.1275,Entire home/apt,85,3,1,2017-04-10,0.02,3,341,0,AL 1587
311047,Central - Alfama - Sé de Lisboa II,1599678,Patrícia,Lisboa,Santa Maria Maior,38.71252,-9.12911,Entire home/apt,52,2,5,2021-10-13,0.06,3,344,2,AL 1627
320603,Luxury flat with astonishing views,1416183,Fadoflats,Lisboa,Santa Maria Maior,38.71293,-9.14228,Entire home/apt,135,2,20,2020-01-28,0.17,13,155,0,7644/AL
322250,THE LEMON HOUSE 5min fromtheocean,1650383,Simona,Cascais,Cascais e Estoril,38.70492,-9.39986,Entire home/apt,100,4,122,2021-10-25,1.31,2,175,21,41208/2015
322284,LISBON HISTORICAL CITY CENTER APART,1650507,Jp,Lisboa,Santa Maria Maior,38.70989,-9.13637,Entire home/apt,89,3,270,2021-11-17,2.29,1,153,37,46752/AL
324364,Da Silva Surfcamp Areia Branca,1659960,Daniel,Lourinh,Lourinh e Atalaia,39.27423,-9.31898,Entire home/apt,400,3,6,2018-08-24,0.06,38,23,0,8651/AL
327792,Quartier Super! centre ville la beauté...,1664323,Anny,Lisboa,Arroios,38.73475,-9.144,Private room,26,5,49,2020-01-01,0.43,4,284,0,
327945,Downtown Lisbon - Sunny and central,1675942,Patrícia,Lisboa,Santa Maria Maior,38.70943,-9.13722,Entire home/apt,55,2,406,2021-11-20,3.42,2,56,1,85271/AL
333311,Among Historic Neighborhoods,1695029,Gonçalo,Lisboa,So Vicente,38.71633,-9.13107,Entire home/apt,55,3,349,2021-10-31,2.95,5,239,2,3280/AL
335344,Bairro Alto Very Nice Apartment ! (90 m2),1707481,Patrícia,Lisboa,Misericrdia,38.71386,-9.14483,Entire home/apt,75,3,158,2021-11-19,1.39,1,311,16,30159/AL
336832,Myplace-Lisbon Alfama River View,701650,Mauro,Lisboa,Santa Maria Maior,38.71248,-9.12961,Entire home/apt,80,2,164,2021-10-12,1.43,10,140,22,7114/AL
344035,Quiet flat in middle Bairro Alto,1730158,Aida,Lisboa,Misericrdia,38.71112,-9.14799,Entire home/apt,74,3,47,2021-11-28,0.66,1,1,4,52334/AL
344928,Sunny Room near river TEJO & BELÉM,1749764,Ana,Lisboa,Alcntara,38.70045,-9.19239,Private room,50,5,15,2021-11-07,0.16,1,350,1,
349459,S. Lourenço Street / Lisbon Center,1770472,André,Lisboa,Santa Maria Maior,38.71418,-9.13572,Entire home/apt,61,3,99,2019-11-23,0.84,1,283,0,19/AL
349971,BERNARDIM BEIGE IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72659,-9.14522,Entire home/apt,200,3,5,2017-11-01,0.07,7,123,0,AL15252
349974,BERNARDIM BLUE  IN CENTRAL LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72488,-9.14511,Entire home/apt,150,3,5,2020-01-09,0.04,7,358,0,AL15257
349975,BERNARDIM WHITE  IN LISBON,1466881,Victor,Lisboa,Santo Antnio,38.72541,-9.14519,Entire home/apt,75,3,5,2021-11-26,0.12,7,338,1,AL15252
351289,Casa de Pedra - CASAS DA MARIA,1779418,Teresa,Lourinh,Reguengo Grande,39.28927,-9.21705,Entire home/apt,80,5,73,2021-08-29,0.71,2,365,7,64585AL
354431,Casa da Saudade - Praça das Flores,1794425,Carlos,Lisboa,Misericrdia,38.71446,-9.15179,Entire home/apt,95,3,161,2021-11-24,1.37,2,351,6,
362009,VISIT LISBON,1829625,Ivone,Oeiras,Barcarena,38.73535,-9.2796,Private room,100,30,0,,,1,358,0,
362562,Romantic 2 Bedrooms Apartment @ Campolide,405842,Agylp Lda,Lisboa,Campolide,38.727,-9.16478,Entire home/apt,60,4,14,2021-11-20,0.14,6,208,1,Arrendamento Residencial
364652,Cozy&Walking distance to everything,1836346,Mafalda,Lisboa,Arroios,38.71817,-9.1394,Entire home/apt,80,7,229,2020-03-16,2.15,1,2,0,9419/AL
369360,Heart of Lisbon! Beautiful room!,1593947,Nuno,Lisboa,Santo Antnio,38.71665,-9.14627,Private room,30,6,185,2021-09-07,1.56,11,194,4,86359/AL
379156,Apartment in Historic  Building,1039097,Diogo,Lisboa,Estrela,38.70498,-9.17156,Entire home/apt,31,3,11,2021-08-20,0.10,11,269,2,44076-AL
385235,Central/Stylish 1bed Principe Real,1928060,China,Lisboa,Misericrdia,38.71535,-9.15119,Entire home/apt,80,2,55,2018-07-09,0.48,2,0,0,
393699,Heart of Lisbon!! Amazing room!!,1593947,Nuno,Lisboa,Santo Antnio,38.71724,-9.14755,Private room,30,6,149,2021-07-15,1.26,11,190,1,86359/AL
393700,Royal Prince House!Heart of Lisbon!,1593947,Nuno,Lisboa,Santo Antnio,38.71693,-9.148,Entire home/apt,140,4,50,2019-01-05,0.43,11,190,0,86359/AL
395874,Sunny apartment with a river view,1165468,Nuno,Lisboa,Misericrdia,38.70691,-9.14846,Entire home/apt,45,3,175,2021-11-24,1.51,1,264,6,88259/AL
396204,Fantastic Sea View in Ericeira,1731572,Luis Pedro,Mafra,Ericeira,38.98762,-9.41653,Entire home/apt,100,3,66,2020-10-15,0.65,1,86,0,
403260,Alfama 2 | Terrace Lisboa Vida Boa,1654712,Susanna,Lisboa,So Vicente,38.71337,-9.12548,Entire home/apt,89,5,107,2019-10-01,0.95,6,220,0,4507/AL
403760,Alfama 1 | Terrace Lisboa Vida Boa,1654712,Susanna,Lisboa,So Vicente,38.71337,-9.12548,Entire home/apt,79,5,145,2021-11-18,1.24,6,262,1,4498/AL
405399,Lisbon Panorama I,1788136,Mário,Lisboa,So Vicente,38.71904,-9.13269,Entire home/apt,98,2,193,2021-11-14,1.93,4,346,8,13197/AL
411639,Alfama 3 | Terrace Lisboa Vida Boa,1654712,Susanna,Lisboa,So Vicente,38.71337,-9.12548,Entire home/apt,245,3,20,2018-07-14,0.18,6,169,0,
416929,A room at the República das bananas,2073678,Augusto,Lisboa,Arroios,38.7338,-9.133,Private room,21,1,456,2021-11-30,4.00,2,280,26,62988/AL
417448,Cute and Cosy apartment in LISBON,2075804,Josie,Lisboa,Santo Antnio,38.71956,-9.14255,Entire home/apt,65,4,106,2020-08-28,0.91,1,0,0,56942/AL.
418945,Nice view over Tagus River @ Lisboa,2083563,Manuel,Lisboa,Belm,38.71156,-9.21046,Private room,110,1,2,2016-07-10,0.02,3,0,0,
422485,Beautiful & Spacious Principe Real,1928060,China,Lisboa,Misericrdia,38.71324,-9.15105,Entire home/apt,120,2,84,2018-11-07,0.73,2,0,0,
424175,Charming  Bed & Breakfast,2108826,Maria,Cascais,Cascais e Estoril,38.70779,-9.39326,Private room,50,1,136,2021-11-27,1.19,2,365,15,47660/AL
424664,Lavanda House Swimming pool Garden,815805,Catarina,Cadaval,Cadaval e Pro Moniz,39.23805,-9.12181,Entire home/apt,65,3,74,2021-11-18,0.66,3,323,12,41833/AL
427653,Loft - Downtown / Castle - historic,2125391,Nuno,Lisboa,Santa Maria Maior,38.71147,-9.13382,Entire home/apt,41,3,141,2020-03-16,1.25,2,306,0,7679/AL
428784,Great apartment in the Old Town II,914126,Martin,Lisboa,Santa Maria Maior,38.71296,-9.1363,Entire home/apt,126,2,63,2021-11-23,0.63,16,327,8,114240/AL
428785,Great apartment in the Old Town,914126,Martin,Lisboa,Santa Maria Maior,38.7129,-9.13817,Entire home/apt,109,2,144,2021-11-20,1.39,16,348,8,114239/AL
429865,Chalet with swimming pool in Sintra,2136909,Pedro,Sintra,Colares,38.80579,-9.4721,Entire home/apt,75,2,220,2021-11-15,1.95,4,314,13,17354/AL
436190,Calm house with pool in Sintra,2136909,Pedro,Sintra,Colares,38.80601,-9.47216,Entire home/apt,75,2,143,2021-11-15,1.42,4,308,9,17354/AL
438431,Guest House Graça Castle. By Alfama,2101702,João,Lisboa,So Vicente,38.71359,-9.12974,Entire home/apt,60,4,373,2021-12-01,3.24,13,69,20,9480/AL
439888,FeelingLisbon Chiado - Authenticity,2068065,Vanda,Lisboa,Misericrdia,38.71291,-9.14926,Entire home/apt,80,3,4,2021-06-15,0.04,17,362,1,78141/AL
441671,Villa Azenhas do Mar,2194932,João,Sintra,Colares,38.83733,-9.45994,Entire home/apt,560,5,3,2018-08-30,0.07,1,332,0,555237/AL
444996,Charming room for Lisbon lovers,2211068,Rui,Lisboa,Misericrdia,38.71441,-9.14908,Private room,40,3,279,2021-12-05,2.57,1,32,12,18541/AL
447832,Your home in Bairro Alto,2223892,Teresa + Andy,Lisboa,Misericrdia,38.71109,-9.14715,Entire home/apt,67,3,595,2021-12-08,5.09,1,219,44,21830/AL
449080,"Mouraria I, Eco-duplex&french balcony&smart access",2229758,Ulrik,Lisboa,Santa Maria Maior,38.71579,-9.13382,Entire home/apt,33,2,187,2021-11-23,1.60,12,343,37,28085/AL
449923,Estúdio11 Estoril - Piscina e Tenis,758277,Margarida,Cascais,Cascais e Estoril,38.70916,-9.40665,Entire home/apt,55,3,46,2021-10-24,0.40,2,342,5,37507/AL
451351,"LV Premier Baixa CN1- AC, elevator, central, views",181902,Jose Luz,Lisboa,Santa Maria Maior,38.70984,-9.13632,Entire home/apt,140,1,141,2021-11-25,1.31,18,269,11,8958/AL
453093,"Villa Oasis, beach village retreat",2251214,Horacio,Lourinh,Lourinh e Atalaia,39.2699,-9.33172,Entire home/apt,90,5,6,2020-07-17,0.05,1,176,0,7260/AL
453233,Apartment in historic city  center - Alfama Julia,2252054,Giuseppe,Lisboa,Santa Maria Maior,38.71199,-9.12798,Entire home/apt,65,2,322,2020-03-16,2.78,2,342,0,19529/AL
454217,"Alfama IV, historic  studio & smart check-in",2229758,Ulrik,Lisboa,Santa Maria Maior,38.71186,-9.12859,Entire home/apt,27,2,202,2021-11-24,1.74,12,335,22,28203/AL
454267,"Sao Vicente I, Eco-penthouse,best view in Lisbon!",2229758,Ulrik,Lisboa,So Vicente,38.7143,-9.13059,Entire home/apt,33,2,186,2021-11-25,1.77,12,325,37,28089/AL
454298,"Alfama III, studio,french balcony & smart check-in",2229758,Ulrik,Lisboa,Santa Maria Maior,38.71191,-9.12864,Entire home/apt,31,2,225,2021-11-20,1.97,12,297,44,23796/AL
454306,"Alfama II, eco-penthouse with french balcony",2229758,Ulrik,Lisboa,Santa Maria Maior,38.71189,-9.12867,Entire home/apt,28,2,206,2021-11-22,1.97,12,337,33,28202/AL
454328,"Alfama I, eco-penthouse with view & french balcony",2229758,Ulrik,Lisboa,Santa Maria Maior,38.71189,-9.12867,Entire home/apt,33,2,229,2021-11-20,2.01,12,349,32,28201/AL
455053,Lisbonne la belle,2103745,Sandra,Lisboa,Avenidas Novas,38.72791,-9.15709,Private room,40,2,26,2021-11-02,0.46,1,365,2,
460877,Stunning Sintra Mountain Property,2290926,Ana,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79187,-9.39384,Entire home/apt,300,4,25,2021-11-09,0.24,1,20,2,
464021,"A Casa e o Mundo, peaceful to stay",2199291,Rosário,Cascais,Cascais e Estoril,38.69792,-9.4225,Private room,40,2,42,2021-11-19,0.36,1,238,1,9996001810163
472183,Estúdio low cost /sleeps 4 /free parking zone,2341627,Elsa,Lisboa,Belm,38.69735,-9.19489,Entire home/apt,69,7,115,2019-10-22,1.02,4,146,0,5060/AL
473272,Great room near the beach -Ericeira,2346772,Diogo,Mafra,Ericeira,38.95778,-9.40431,Private room,43,2,0,,,1,365,0,
473519,"Quarto com charme em Algés, perto da cidade",940404,Alice,Oeiras,"Algs, Linda-a-Velha e Cruz Quebrada-Dafundo",38.7056,-9.23021,Private room,25,2,30,2019-07-26,0.55,1,1,0,496571
474818,"CASTELO, ALFAMA - CASA MENINO DEUS    ( 53816/AL )",2353669,Jorge,Lisboa,Santa Maria Maior,38.71284,-9.13085,Entire home/apt,49,2,397,2021-11-28,3.68,1,308,24,53816/AL
478989,GreatStay Fanqueiros 5,862470,Great Stay,Lisboa,Santa Maria Maior,38.71135,-9.13616,Private room,60,1,85,2020-08-15,0.73,12,0,0,35089/AL
479093,"Excellent family home, come visit!",2372961,Ekk,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.76467,-9.36206,Private room,100,1,0,,,1,365,0,
479691,Casa do Bairro @ Bairro Alto Lisbon   34211/AL,2376032,Dulce,Lisboa,Misericrdia,38.71403,-9.14551,Entire home/apt,60,1,191,2021-11-28,1.65,1,346,5,
483897,Entrecampos Apartment,2381723,Renata,Lisboa,Avenidas Novas,38.74524,-9.14776,Entire home/apt,40,2,206,2021-05-31,1.81,2,106,7,31317/AL
484157,Casa na Bica,2396948,José,Lisboa,Misericrdia,38.70962,-9.14739,Entire home/apt,65,2,147,2018-10-24,1.27,1,311,0,11729/AL
486291,Casa do Largo - 2br Alfama Castelo,1725290,Carla,Lisboa,So Vicente,38.71354,-9.1291,Entire home/apt,50,2,311,2021-01-02,2.75,1,222,1,34308/AL
487394,Bright & cozy apartment in Alfama,2412046,Pedro,Lisboa,Santa Maria Maior,38.71259,-9.12912,Entire home/apt,45,5,320,2021-11-24,2.78,1,111,16,24017/AL
487633,Charming Apartment Mouraria Castelo,2412924,Michela,Lisboa,Santa Maria Maior,38.71376,-9.1364,Entire home/apt,58,3,371,2021-12-05,3.24,1,262,24,1368/AL
488241,Quiet and Warm Historic Alfama with A/C (TRV2),2396258,"Fatima, Paula And Eduardo",Lisboa,Santa Maria Maior,38.71252,-9.1245,Entire home/apt,141,2,36,2021-08-27,0.37,15,350,3,2819/AL
488694,Travessa III - glamour in Lisbon's historic center,2396258,"Fatima, Paula And Eduardo",Lisboa,Santa Maria Maior,38.71276,-9.12469,Entire home/apt,141,2,48,2021-11-09,0.41,15,272,3,10212/AL
489178,"Alfama Lisbon-""Windows to the Sun""",727771,Susana,Lisboa,Santa Maria Maior,38.71214,-9.12936,Entire home/apt,60,4,328,2021-09-13,2.84,9,233,17,40032/AL.
489804,Sunny terrace in Graça. Ideal for families,277909,Virginie,Lisboa,Arroios,38.72067,-9.13524,Entire home/apt,65,3,82,2020-11-01,0.88,1,127,0,580859
